software,e,s,total
FlawedGrace,[],[],0
FlexiSpy,[],[],0
FLIPSIDE,[],[],0
FoggyWeb,[],[],0
Forfiles,[],"[532, 675, 767, 931, 935]",6
FrameworkPOS,[],[],0
FrozenCell,[],[],0
FruitFly,[],[],0
ftp,"[56, 62, 376, 395, 396, 442]","[176, 273, 699, 709, 723, 844]",19
FunnyDream,[],[],0
FYAnti,[],[],0
Fysbis,[],[],0
Gazer,[],[],0
Gelsemium,[],[],0
GeminiDuke,[],[],0
Get2,[],[],0
gh0st RAT,[],[],0
Ginp,[],[],0
GLOOXMAIL,[],[],0
Gold Dragon,[],[],0
Golden Cup,[],[],0
GoldenEagle,[],[],0
GoldenSpy,[],[],0
GoldFinder,[],[],0
GoldMax,[],[],0
GolfSpy,[],[],0
Gooligan,[],[],0
Goopy,[],[],0
GPlayed,[],[],0
Grandoreiro,[],[],0
GravityRAT,[],[],0
Green Lambert,[],[],0
GreyEnergy,[],[],0
GRIFFON,[],[],0
GrimAgent,[],[],0
gsecdump,[],[],0
GuLoader,[],[],0
Gustuff,[],[],0
H1N1,[],[],0
Hacking Team UEFI Rootkit,[],[],0
HALFBAKED,[],[],0
HAMMERTOSS,[],[],0
Hancitor,[],[],3
HAPPYWORK,[],[],0
HARDRAIN,[],[],0
Havij,[],[],0
HAWKBALL,[],[],0
hcdLoader,[],[],0
HDoor,[],[],0
HELLOKITTY,[],[],0
Helminth,[],[],0
HenBox,[],[],0
HermeticWiper,[],[814],1
HermeticWizard,[],[],0
Heyoka Backdoor,[],[],0
Hi-Zor,[],[],0
HiddenWasp,[],[],0
HIDEDRV,[],[],0
Hikit,[],[],0
Hildegard,[],[],0
HOMEFRY,[],[],0
HOPLIGHT,[],[],0
HotCroissant,[],[],0
HTRAN,[],[],0
HTTPBrowser,[],[],0
httpclient,[],[],0
HummingBad,[],[],0
HummingWhale,[],[],0
Hydraq,[],[],0
HyperBro,[],[],0
HyperStack,[],[],0
IceApple,[],[],0
IcedID,[],"[193, 222, 228, 239, 306, 335, 347, 368, 418, 537, 555, 560, 561, 563, 565, 566, 567, 568, 616, 619, 644, 645, 646, 648, 661, 690, 722, 741, 758, 922, 923]",31
ifconfig,[349],[515],2
iKitten,[],[],0
Imminent Monitor,[],[],0
Impacket,[],[419],2
INCONTROLLER,[],[],0
Industroyer,[],"[197, 207, 337, 361, 362, 419, 432, 450, 452, 457, 470, 508, 512, 515, 613, 662, 753, 835, 858, 886, 902, 922, 923]",23
InnaputRAT,[],[],0
INSOMNIA,[],[],0
InvisiMole,[],[],0
Invoke-PSImage,[],[],0
ipconfig,"[363, 376, 395, 396]","[227, 709, 870, 944]",11
IronNetInjector,[],[],0
ISMInjector,[],[],0
Ixeshe,[],[],0
Janicab,[],[],0
Javali,[],[],0
JCry,[],[],0
JHUHUGIT,[],[],0
JPIN,[],[],0
jRAT,[],[],1
JSS Loader,[],[],0
Judy,[],[],0
KARAE,[],[],0
Kasidet,[],[],0
Kazuar,[],[],0
Kerrdown,[],[],0
Kessel,[],[],0
Kevin,[],[],0
KeyBoy,[],[],0
Keydnap,[],[],0
KEYMARBLE,[],[],0
KeyRaider,[],[],0
KGH_SPY,[],[],0
KillDisk,[],[],0
Kinsing,[],[],0
Kivars,[],[],0
Koadic,[],"[351, 354]",2
Kobalos,[35],[],1
KOCTOPUS,[],[],0
Komplex,[],[],0
KOMPROGO,[],[],0
KONNI,[],[],0
Kwampirs,[],[],0
LaZagne,[81],[],1
LightNeuron,[],[],0
Linfo,[],[],0
Linux Rabbit,[],[],0
LiteDuke,[],[],0
LitePower,[],[],0
Lizar,[],[],0
LockerGoga,[],[],0
LoJax,[],[],0
Lokibot,[],[],0
LookBack,[],[],0
LoudMiner,[],[],0
LOWBALL,[],[],0
Lslsass,[],[],0
Lucifer,[],[],0
Lurid,[],[],0
Machete,[],[],0
MacMa,[],[],0
macOS.OSAMiner,[],[],0
MacSpy,[],[],0
MailSniper,[],[],0
Mandrake,[],[],0
Marcher,[],[],0
MarkiRAT,[],[],0
Matryoshka,[],[],0
MazarBOT,[],[],0
Maze,[341],[],1
MCMD,[],[],0
MechaFlounder,[],[],0
meek,[],[],1
MegaCortex,[],[],0
Melcoz,[],[],0
MESSAGETAP,[],[],0
Metamorfo,[],[],0
Meteor,[],[],0
Micropsia,[],[],0
Milan,[],[],0
Mimikatz,"[232, 240, 241, 242, 243, 313]","[119, 263, 264, 531, 838, 875, 880]",27
MimiPenguin,[],[],0
Miner-C,[],[],0
MiniDuke,[],[],0
MirageFox,[],[],0
Mis-Type,[],[],0
Misdat,[],[],0
Mivast,[],[],0
MobileOrder,[],[],0
MoleNet,[],[],0
Mongall,[],[],0
Monokle,[],[],0
MoonWind,[],[],0
More_eggs,[],[],0
Mori,[323],[],1
Mosquito,[],[],0
MURKYTOP,[],[],0
Mythic,[],[],0
Naid,[],[],0
NanHaiShu,[],[],0
NanoCore,[],[],0
NativeZone,[],[],0
NavRAT,[],[],0
NBTscan,[],[],0
nbtstat,"[351, 363, 376, 395, 396]",[709],9
NDiskMonitor,[],[],0
Nebulae,[],[],0
Neoichor,[],[],0
Nerex,[],[],0
Net Crawler,[],[],0
NETEAGLE,[],[],0
netsh,"[273, 278, 279, 363, 376, 395, 396, 500]","[165, 176, 198, 201, 316, 605, 709, 723, 898]",25
netstat,"[28, 363, 376, 395, 396, 397]","[515, 550, 709]",10
NetTraveler,[],[],0
Netwalker,[],[],0
NETWIRE,[],[],0
Ngrok,[],[],0
Nidiran,[],[],0
njRAT,[],[],1
Nltest,[],[328],1
NOKKI,[],[],0
NotCompatible,[],[],0
NotPetya,[],[],4
OBAD,[],[],0
ObliqueRAT,[],[],0
OceanSalt,[],[],0
Octopus,[],[],0
Okrum,[],[],0
OLDBAIT,[],[],0
OldBoot,[],[],0
Olympic Destroyer,[],[],0
OnionDuke,[],[],0
OopsIE,[],[],0
Orz,[],[],0
OSInfo,[],[],0
OSX/Shlayer,[],[],0
OSX_OCEANLOTUS.D,[],[],0
Out1,[],[],0
OutSteel,[],[],0
OwaAuth,[],[],0
P.A.S. Webshell,[],[],0
P2P ZeuS,[],[],0
P8RAT,[],[],0
Pallas,[],[],0
Pandora,[],[],0
Pasam,[],[],0
Pass-The-Hash Toolkit,[],[],0
Pay2Key,[],[],0
PcShare,[],[],0
Pegasus for Android,[],[],0
Pegasus for iOS,[],[],0
Peirates,[],[],0
Penquin,[],[],0
Peppy,[],[],0
PHOREAL,[],[],0
Pillowmint,[],[],0
PinchDuke,[],[],0
Ping,[],[579],4
PingPull,[],[],0
PipeMon,[],[],0
Pisloader,[],[],0
PJApps,[],[],0
PLAINTEE,[],[],0
PLC-Blaster,[],[],0
PLEAD,[],[],0
PlugX,[],[],2
pngdowner,[],[],0
PoetRAT,[],[],0
PoisonIvy,[],[],0
PolyglotDuke,[],[],0
Pony,[],[],4
POORAIM,[],[],0
PoshC2,[],[],0
POSHSPY,[],[],0
Power Loader,[],[],0
PowerDuke,[],[],0
PowerLess,[],[],0
PowerPunch,[],[],0
PowerShower,[],[],0
POWERSOURCE,[],[],0
PowerSploit,"[207, 246, 482]","[406, 407, 838, 875, 880, 883, 884]",12
PowerStallion,[],[],0
POWERSTATS,[],[],0
POWERTON,[],[],0
PowGoop,[],[],0
POWRUNER,[],[],0
Prikormka,[],[],0
ProLock,[],[],0
Proton,[],[],0
Proxysvc,[],[],0
PS1,[],[],0
PsExec,"[26, 27, 370, 378]","[272, 282, 362, 584]",10
Psylo,[],[],0
Pteranodon,[],[],0
PUNCHBUGGY,[],[],0
PUNCHTRACK,[],[],0
Pupy,"[11, 49]",[],2
pwdump,[],[],0
PyDCrypt,[],[],0
Pysa,[],[],0
QakBot,[],[],0
QUADAGENT,[],[],0
QuasarRAT,[],[],0
QuietSieve,[],[],0
Ragnar Locker,[],[],0
Raindrop,[],[],0
RainyDay,[],[],0
Ramsay,[],[],0
RARSTONE,[],[],0
RATANKBA,[],[],0
RawDisk,[],[],0
RawPOS,[],[],0
Rclone,[],"[273, 699]",2
RCSAndroid,[],[],0
RCSession,[],[],0
RDAT,[],[],0
RDFSNIFFER,[],[],0
Reaver,[],[],0
Red Alert 2.0,[],[],0
RedDrop,[],[],0
RedLeaves,[],[],0
RegDuke,[],[],0
Regin,[],[],0
Remcos,[],"[196, 320, 361, 423, 518, 526, 556, 557, 580, 600, 607, 610, 616, 618, 619, 621, 622, 742, 752, 753, 764, 769, 786, 807, 924, 934]",26
Remexi,[],[],0
RemoteCMD,[],[],0
RemoteUtilities,[],[],0
Remsec,[],[],0
Responder,[],[],1
Revenge RAT,[],[],0
REvil,[],[],0
RGDoor,[],[],0
Rifdoor,[],[],0
Riltok,[],[],0
RIPTIDE,[],[],0
Rising Sun,[],[],0
ROADTools,[],[],0
RobbinHood,[],[],0
ROCKBOOT,[],[],0
RogueRobin,[],[],0
ROKRAT,[],[],0
Rotexy,[],[],0
route,"[17, 180, 500]","[431, 454, 455, 456, 476, 479, 486, 515, 551, 709, 954]",18
Rover,[],[],0
RTM,[],[],0
Ruler,[],[],0
RuMMS,[],[],0
RunningRAT,[],[],0
Ryuk,[341],"[189, 213, 232, 233, 555, 652, 653, 695, 710, 761, 789, 809, 904, 921, 922]",17
S-Type,[],[],0
Saint Bot,[],[],0
Sakula,[],[],0
SamSam,[],"[166, 206, 211, 232, 233, 249, 272, 282, 366, 654]",10
SDBbot,[],[],0
SDelete,[320],[],2
SeaDuke,[],[],0
Seasalt,[],[],0
SEASHARPEE,[],[],0
ServHelper,[],[],0
Seth-Locker,[],[],0
ShadowPad,[],[],0
Shamoon,[],[],0
Shark,[],[],0
SharpStage,[],[],0
SHARPSTATS,[],[],0
ShiftyBug,[],[],0
ShimRat,[],[],0
ShimRatReporter,[],[],0
SHIPSHAPE,[],[],0
SHOTPUT,[],[],0
SHUTTERSPEED,[],[],0
Sibot,[],[],0
SideTwist,[],[],0
SILENTTRINITY,[],[],0
SilkBean,[],[],0
Siloscape,[],[],0
SimBad,[],[],0
Skeleton Key,[],[],0
Skidmap,[],[],0
Skygofree,[],[],0
Sliver,[],[],0
SLOTHFULMEDIA,[],[],0
SLOWDRIFT,[],[],0
Small Sieve,[],[],0
Smoke Loader,[],[],0
SMOKEDHAM,[],[],0
SNUGRIDE,[],[],0
Socksbot,[],[],0
SodaMaster,[],[],0
SombRAT,[],[],0
SoreFang,[],[],0
SOUNDBITE,[],[],0
SPACESHIP,[],[],0
Spark,[],[],0
SpeakUp,[],[],0
SpicyOmelette,[],[],0
spwebmember,[],[],0
SpyDealer,[],[],0
SpyNote RAT,[],[],0
sqlmap,[2],[],1
SQLRat,[],[],0
Squirrelwaffle,[],[],0
SslMM,[],[],0
Starloader,[],[],0
STARWHALE,[],[],0
Stealth Mango,[],[],0
StoneDrill,[],[],0
StreamEx,[],[],0
StrifeWater,[],[],0
StrongPity,[],[],0
Stuxnet,[],[],0
SUGARDUMP,[],[],0
SUGARUSH,[],[],0
SUNBURST,"[222, 354, 355]","[658, 795]",6
SUNSPOT,[],[],0
SUPERNOVA,[],[],0
Sykipot,[],[],0
SynAck,[],[],0
SYNful Knock,[],[],0
Sys10,[],[],0
SYSCON,[],[],0
Systeminfo,[],[],0
SysUpdate,[],[],0
T9000,[],[],0
Taidoor,[],[],0
TAINTEDSCRIBE,[],[],0
TajMahal,[],[],0
Tangelo,[],[],0
Tarrask,[],[],0
Tasklist,[],[],1
TDTESS,[],[],0
TEARDROP,[],[],0
TERRACOTTA,[],[],0
TEXTMATE,[],[],0
ThiefQuest,[],[],0
ThreatNeedle,[],[],0
Tiktok Pro,[],[],0
